object_id,first_name,last_name,birthplace,affiliation_name,degree_type,subject,institution,graduated_at,created_at_x,updated_at_x,id,relationship_id,person_object_id,relationship_object_id,start_at,end_at,is_past,sequence,title,created_at_y,updated_at_y
p:26,Peter,Thiel,,Confinity,BA,Philosophy,Stanford University,,2008-06-30 06:37:15,2008-06-30 06:37:15,29.0,29.0,p:26,f:6,,,0.0,6.0,Partner,2007-05-31 20:15:01,2012-03-13 23:08:47
p:29,Gus,Tai,,BillShrink,BA,Applied Mathematics,Harvard University,,2013-06-04 09:35:59,2013-06-04 09:35:59,25.0,25.0,p:29,f:3,1996-05-01,,0.0,10.0,General Partner,2007-05-30 18:23:49,2013-08-12 04:05:45
p:35,George,Zachary,,Millennial Media,,,Massachusetts Institute of Technology,1987-01-01,2013-08-24 09:46:23,2013-08-24 09:46:23,33.0,33.0,p:35,f:7,,,0.0,7.0,General Partner,2007-05-31 20:32:21,2013-08-26 20:19:07
p:125,Ron,Conway,,Angel Investors LP,BS,Political Science,San Jose State University,,2012-03-06 14:30:10,2012-03-07 02:48:31,428.0,428.0,p:125,c:134,,,0.0,6.0,Investor,2007-07-11 15:58:47,2010-03-21 05:09:29
p:135,Josh,Kopelman,"Great Neck, New York",First Round Capital,BS,Entrepreneurial Management and Marketing,University of Pennsylvania,,2008-05-08 07:06:54,2008-05-08 07:06:54,5501.0,5501.0,p:135,f:29,,,0.0,19.0,Partner,2008-02-08 21:15:56,2013-01-24 08:27:35
p:195,Paul,Graham,,YCombinator,BA,,Cornell University,1986-01-01,2008-08-05 20:18:10,2008-12-09 06:58:24,6693.0,6693.0,p:195,c:2520,,,0.0,131777.0,Partner,2008-02-21 23:02:05,2010-07-09 08:52:49
p:378,Peter,Gardner,,Last.fm,,,,,,,391.0,391.0,p:378,c:132,,,1.0,1.0,Investor,2007-07-11 10:14:30,2010-11-23 15:10:31
p:405,Barry,Eggers,,Lightspeed Venture Partners,MBA,,Stanford University,,2010-06-16 20:23:07,2013-12-11 11:46:53,421.0,421.0,p:405,f:94,1997-01-15,,0.0,4.0,Partner,2007-07-11 14:35:05,2013-12-11 11:43:47
p:440,Kevin,Harvey,,freebase,BA,Degree,Rice University,1987-01-01,2013-08-04 07:22:55,2013-08-04 07:22:55,774.0,774.0,p:440,f:48,,,0.0,3.0,General Partner,2007-07-19 07:12:52,2013-08-04 07:22:41
p:463,Sujit,Banerjee,,BlueRun Ventures,MBA,"Finance, General",University of Pennsylvania - The Wharton School,2000-01-01,2013-09-10 10:24:05,2013-09-10 10:24:05,484.0,484.0,p:463,f:101,2003-02-01,2010-07-01,1.0,5.0,Partner,2007-07-12 09:55:56,2013-09-10 10:29:19
p:524,Robin,Klein,,The Accelerator Group,MS,Engineering,University of the Witwatersrand,1969-01-01,2013-08-07 01:01:31,2013-08-07 01:01:31,71423.0,71423.0,p:524,f:18,2010-04-25,,0.0,324307.0,Venture Partner,2010-04-25 15:56:20,2013-08-07 01:24:24
p:526,Ram,Shriram,"Chennai (Tamil Nadu, India)",Sherpalo Ventures,BS,Business,Queen's University,,2010-08-01 20:12:33,2012-07-27 11:58:34,549.0,549.0,p:526,f:114,,,0.0,6.0,Managing Partner,2007-07-14 05:45:56,2013-09-11 10:48:07
p:576,Isaac,Applbaum,,Opus Capital,,,,,,,603.0,603.0,p:576,f:121,,,1.0,1.0,General Partner,2007-07-17 04:33:26,2013-08-31 08:50:11
p:628,Bob,Pittman,,ilike,,,,,,,5061.0,5061.0,p:628,f:313,,,0.0,3.0,Investor,2008-01-18 08:26:57,2013-10-29 06:40:41
p:750,Eric,Chin,,Bay Partners,BA,,Dartmouth College,,2013-08-13 09:01:29,2013-08-13 09:01:29,115899.0,115899.0,p:750,f:113,2010-09-01,,0.0,6.0,General Partner,2011-06-02 17:12:57,2013-01-25 04:48:02
p:752,Neal,Dempsey,,Bay Partners,BA,Degree,University of Washington,1964-01-01,2013-07-02 19:02:10,2013-10-18 02:10:25,792.0,792.0,p:752,f:149,,,0.0,6.0,General Partner,2007-07-19 08:12:44,2013-08-13 11:43:32
p:812,Peter,Lipson,,Photoways,MBA,,Harvard University,2001-01-01,2013-09-12 11:27:29,2013-09-12 11:27:29,858.0,858.0,p:812,c:229,,,0.0,2.0,Investor,2007-07-20 09:55:23,2013-02-21 12:48:45
p:963,Ron,Belt,,Lowland Capital Partners BV,,,,,,,1022.0,1022.0,p:963,f:178,,,0.0,1.0,Partner,2007-07-25 11:58:48,2008-02-05 22:43:58
p:1129,David,Sze,,LinkedIn,MBA,,Stanford University,,2013-05-05 11:03:42,2013-06-29 03:03:44,14708.0,14708.0,p:1129,f:1,,,0.0,4.0,Partner,2008-06-11 19:31:15,2010-01-12 22:05:50
p:1131,Ronald,Fisher,,Softbank Capital,MBA,,Columbia University,,2013-08-12 05:39:14,2013-08-12 05:39:14,1202.0,1202.0,p:1131,f:214,,,0.0,2.0,Managing Partner,2007-08-01 13:01:06,2013-08-12 07:23:12
p:1223,John,Balen,,EzRez Software,BS,Electrical and Electronics Engineering,Cornell University,1982-01-01,2013-07-15 05:43:23,2013-08-26 04:34:32,1331.0,1331.0,p:1223,f:215,1995-09-01,,0.0,4.0,General Partner,2007-08-04 13:34:40,2013-08-26 04:32:46
p:1247,John,Shoch,,Alloy Ventures,BA,Political Science,Stanford University,1971-01-01,2013-08-14 11:20:41,2013-08-14 11:20:41,1320.0,1320.0,p:1247,f:204,1996-01-01,,0.0,1.0,General Partner,2007-08-04 13:27:11,2013-08-14 11:40:22
p:1426,Edward,Anderson,,North Bridge Venture Partners,,,,,,,1411.0,1411.0,p:1426,f:243,,,0.0,1.0,Managing Partner,2007-08-11 04:45:11,2013-08-27 07:09:15
p:1438,Jeff,Bezos,"Albuquerque, New Mexico, USA",Bezos Expeditions,MS,,Princeton University,,2013-06-26 13:17:13,2013-06-26 13:17:13,9908.0,9908.0,p:1438,f:168,,,0.0,3.0,Investor,2008-04-08 23:00:52,2013-09-18 08:34:41
p:1734,Bill,Nighan,,Incubic Venture Fund,,,,,,,1723.0,1723.0,p:1734,f:285,,,0.0,1.0,Partner,2007-08-22 13:03:37,2008-02-05 22:44:01
p:2072,Ryan,Swagar,,Venture51,,,,,,,32304.0,32304.0,p:2072,c:15616,,,0.0,1.0,Managing Partner,2009-01-27 04:28:09,2011-04-07 01:29:01
